Year,region,Country,fertility,life,population,child_mortality,gdp
1964,America,Antigua and Barbuda,4.25,63.775,58653.0,72.78,5008.0
1964,America,Argentina,3.068,65.388,21966478.0,57.43,8227.0
1964,America,Aruba,4.059,67.113,57031.0,,5505.0
1964,America,Bahamas,4.22,64.189,133709.0,48.56,18160.0
1964,America,Barbados,4.0939999999999985,62.819,234455.0,64.7,5681.0
1964,America,Belize,6.42,62.24100000000001,103555.0,112.27,2114.0
1964,America,Bolivia,6.607,43.913,3668568.0,265.4,2971.0
1964,America,Brazil,5.9529999999999985,56.521,82021855.0,154.2,4707.0
1964,America,Canada,3.513,71.69,19309343.0,28.2,16464.0
1964,America,Chile,5.185,58.756,8457066.0,126.8,6537.0
1964,America,Colombia,6.6610000000000005,58.672,18019927.0,116.7,3749.0
1964,America,Costa Rica,6.886,63.81800000000001,1532386.0,92.08,4495.0
1964,America,Cuba,4.643,66.327,7777606.0,45.9,9179.0
1964,America,Dominican Rep.,7.187,54.633,3772937.0,,
1964,America,Ecuador,6.589,55.404,4994917.0,159.9,4786.0
1964,America,El Salvador,6.699,53.953,3146076.0,172.7,4585.0
1964,America,French Guiana,5.0760000000000005,61.143,37711.0,,
1964,America,Grenada,5.9060000000000015,61.725,94050.0,102.28,2316.0
1964,America,Guadeloupe,5.539,61.511,296326.0,,
1964,America,Guatemala,6.434,47.88399999999999,4636016.0,201.5,3722.0
1964,America,Guyana,5.329,58.709,623694.0,80.4,3164.0
1964,America,Haiti,6.233,44.464,4188276.0,273.0,2024.0
1964,America,Honduras,7.443,48.92100000000001,2279568.0,184.2,2583.0
1964,America,Jamaica,5.775,66.282,1734820.0,71.8,5965.0
1964,America,Martinique,5.363,62.724,306700.0,,
1964,America,Mexico,6.767,59.076,43574687.0,127.3,7045.0
1964,America,Netherlands Antilles,4.06,66.99600000000001,144016.0,,
1964,America,Nicaragua,7.0520000000000005,49.64100000000001,2001105.0,190.0,5559.0
1964,America,Panama,5.707000000000002,62.81399999999999,1267907.0,81.8,4852.0
1964,America,Paraguay,6.41,64.64399999999999,2118896.0,82.0,3163.0
1964,America,Peru,6.8,49.726000000000006,11143120.0,199.4,6155.0
1964,America,Puerto Rico,4.075,69.626,2541906.0,,10545.0
1964,America,Saint Lucia,6.757999999999999,60.104,95264.0,,
1964,America,Saint Vincent and the Grenadines,6.876,61.962,85076.0,,
1964,America,Suriname,6.412000000000001,61.117,323298.0,89.22,7650.0
1964,America,Trinidad and Tobago,4.664,64.422,883421.0,59.7,9362.0
1964,America,United States,3.222,70.33,197094531.0,27.7,20338.0
1964,America,Uruguay,2.858,68.455,2664775.0,58.6,7644.0
1964,America,Venezuela,6.495,61.825,8759890.0,72.0,13789.0
1964,America,Virgin Islands (U.S.),5.698,65.19800000000001,46122.0,,
1964,East Asia & Pacific,Australia,3.154,70.65,11122567.0,22.7,16098.0
1964,East Asia & Pacific,Brunei,6.227,64.59899999999999,95191.0,83.12,67522.0
1964,East Asia & Pacific,Cambodia,6.909,41.9,5983575.0,238.67,1548.0
1964,East Asia & Pacific,China,6.12,53.32072,696171650.0,130.77,713.0
1964,East Asia & Pacific,Fiji,5.676,57.545,450447.0,61.7,3671.0
1964,East Asia & Pacific,French Polynesia,5.3679999999999986,57.845,89768.0,,
1964,East Asia & Pacific,Guam,5.67,62.967,74044.0,,
1964,East Asia & Pacific,"Hong Kong, China",4.833,69.52,3694996.0,,6530.0
1964,East Asia & Pacific,Indonesia,5.622999999999998,47.985,101538797.0,199.5,1694.0
1964,East Asia & Pacific,Japan,1.97,70.28,96253698.0,27.0,6741.0
1964,East Asia & Pacific,Kiribati,7.2010000000000005,48.716,36801.0,173.5,2639.0
1964,East Asia & Pacific,"Korea, Dem. Rep.",4.022,53.335,12011509.0,,
1964,East Asia & Pacific,"Korea, Rep.",5.357,56.0,27772698.0,,
1964,East Asia & Pacific,Laos,5.971,44.413,2336091.0,,
1964,East Asia & Pacific,"Macao, China",3.926,66.812,197519.0,,9874.0
1964,East Asia & Pacific,Malaysia,5.808,61.67100000000001,9286976.0,74.7,3338.0
1964,East Asia & Pacific,"Micronesia, Fed. Sts.",6.893,59.176,50481.0,113.73,1542.0
1964,East Asia & Pacific,Mongolia,7.558,51.771,1076571.0,217.76,1383.0
1964,East Asia & Pacific,Myanmar,6.13,45.949,22824142.0,227.78,1358.0
1964,East Asia & Pacific,New Caledonia,5.22,58.985,88549.0,,
1964,East Asia & Pacific,New Zealand,3.22404,71.35,2581577.0,23.8,17837.0
1964,East Asia & Pacific,Papua New Guinea,6.268,41.181,2116822.0,176.3,1324.0
1964,East Asia & Pacific,Philippines,6.867000000000001,59.072,29664173.0,94.6,2825.0
1964,East Asia & Pacific,Samoa,7.567,51.755,123530.0,153.33,3498.0
1964,East Asia & Pacific,Singapore,4.658,66.705,1836072.0,36.5,5613.0
1964,East Asia & Pacific,Solomon Islands,6.394,51.194,140000.0,157.9,1190.0
1964,East Asia & Pacific,Taiwan,5.127999999999999,66.7,12631000.0,,3407.0
1964,East Asia & Pacific,Thailand,6.151,57.133,30839333.0,128.0,1725.0
1964,East Asia & Pacific,Timor-Leste,6.347,35.72400000000001,537278.0,318.95,701.0
1964,East Asia & Pacific,Tonga,7.117000000000001,62.839,71758.0,76.5,1610.0
1964,East Asia & Pacific,Vanuatu,6.836,48.853,72131.0,137.7,1553.0
1964,East Asia & Pacific,Vietnam,6.464,61.604,38898597.0,95.0,1285.0
1964,Europe & Central Asia,Albania,5.711,65.475,1817098.0,122.67,3023.0
1964,Europe & Central Asia,Armenia,4.1610000000000005,67.714,2138133.0,66.85,2823.0
1964,Europe & Central Asia,Austria,2.795,70.16,7220812.0,34.2,13915.0
1964,Europe & Central Asia,Azerbaijan,5.468,62.701,4440733.0,93.61,5751.0
1964,Europe & Central Asia,Belarus,2.6010000000000004,73.48,8521413.0,33.42,4357.0
1964,Europe & Central Asia,Belgium,2.599,70.73,9384939.0,28.9,14995.0
1964,Europe & Central Asia,Bosnia and Herzegovina,3.619,62.81399999999999,3357005.0,117.16,2152.0
1964,Europe & Central Asia,Bulgaria,2.181,71.14,8140705.0,45.6,6110.0
1964,Europe & Central Asia,Channel Islands,2.551,71.143,113765.0,,
1964,Europe & Central Asia,Croatia,2.211,66.3,4108808.0,65.67,9476.0
1964,Europe & Central Asia,Cyprus,3.249,70.895,578710.0,36.77,6563.0
1964,Europe & Central Asia,Czech Rep.,2.123,70.58,9661235.0,,
1964,Europe & Central Asia,Denmark,2.602,72.52,4722383.0,22.1,18228.0
1964,Europe & Central Asia,Estonia,1.953,70.64,1275487.0,36.22,7728.0
1964,Europe & Central Asia,Finland,2.58,69.37,4545748.0,21.3,12389.0
1964,Europe & Central Asia,France,2.8,71.32,48194218.0,23.4,13969.0
1964,Europe & Central Asia,Georgia,2.864,65.293,4419666.0,85.37,3707.0
1964,Europe & Central Asia,Germany,2.494,70.6511001188,75363329.0,34.49,17100.0
1964,Europe & Central Asia,Greece,2.259,69.493,8509724.0,49.4,8197.0
1964,Europe & Central Asia,Greenland,7.27,63.236535000399996,37810.0,,7181.0
1964,Europe & Central Asia,Hungary,1.876,69.48,10107595.0,50.6,11083.0
1964,Europe & Central Asia,Iceland,3.736,73.57,189148.0,19.7,13450.0
1964,Europe & Central Asia,Ireland,3.987,70.49,2860976.0,30.1,9215.0
1964,Europe & Central Asia,Italy,2.5,70.4,51054762.0,43.1,12343.0
1964,Europe & Central Asia,Kazakhstan,4.2010000000000005,60.19600000000001,11577537.0,108.03,9418.0
1964,Europe & Central Asia,Kyrgyzstan,5.317,58.055,2490244.0,,
1964,Europe & Central Asia,Latvia,1.819,71.55,2236535.0,32.12,6134.0
1964,Europe & Central Asia,Lithuania,2.378,71.94,2927610.0,37.22,10728.0
1964,Europe & Central Asia,Luxembourg,2.374,69.07,328603.0,29.2,25235.0
1964,Europe & Central Asia,"Macedonia, FYR",3.446,63.06,1462410.0,157.45,4987.0
1964,Europe & Central Asia,Malta,2.798,68.839,307119.0,35.4,2830.0
1964,Europe & Central Asia,Moldova,2.989,63.496,3275331.0,87.48,4162.0
1964,Europe & Central Asia,Montenegro,3.093,66.411,500745.0,73.53,8135.0
1964,Europe & Central Asia,Netherlands,3.17,73.73,12055386.0,18.8,15204.0
1964,Europe & Central Asia,Norway,2.96,73.61,3693750.0,20.4,18118.0
1964,Europe & Central Asia,Poland,2.5,68.8,30740557.0,49.3,7078.0
1964,Europe & Central Asia,Portugal,3.189,65.24,8925792.0,91.0,6902.0
1964,Europe & Central Asia,Romania,1.9469026549,67.73,18870340.0,77.2,7512.0
1964,Europe & Central Asia,Russia,2.16,69.85,125644787.0,41.18,11836.0
1964,Europe & Central Asia,Serbia,2.517,65.05,7831873.0,62.76,8367.0
1964,Europe & Central Asia,Slovak Republic,2.779,71.09,4302571.0,32.66,9135.0
1964,Europe & Central Asia,Slovenia,2.34,69.197,1621265.0,35.68,10057.0
1964,Europe & Central Asia,Spain,2.826,70.58,31764645.0,42.9,8611.0
1964,Europe & Central Asia,Sweden,2.475,73.73,7676568.0,17.1,18434.0
1964,Europe & Central Asia,Switzerland,2.564,72.2,5729362.0,23.6,30886.0
